날짜,구분,지역,수치
2007-01-01,미분양주택현황,전국,75616.0
2007-02-01,미분양주택현황,전국,73619.0
2007-03-01,미분양주택현황,전국,73162.0
2007-04-01,미분양주택현황,전국,73393.0
2007-05-01,미분양주택현황,전국,78571.0
2007-06-01,미분양주택현황,전국,89924.0
2007-07-01,미분양주택현황,전국,90658.0
2007-08-01,미분양주택현황,전국,91714.0
2007-09-01,미분양주택현황,전국,98235.0
2007-10-01,미분양주택현황,전국,100887.0
2007-11-01,미분양주택현황,전국,101500.0
2007-12-01,미분양주택현황,전국,112254.0
2008-01-01,미분양주택현황,전국,123371.0
2008-02-01,미분양주택현황,전국,129652.0
2008-03-01,미분양주택현황,전국,131757.0
2008-04-01,미분양주택현황,전국,129859.0
2008-05-01,미분양주택현황,전국,128170.0
2008-06-01,미분양주택현황,전국,147230.0
2008-07-01,미분양주택현황,전국,160595.0
2008-08-01,미분양주택현황,전국,157291.0
2008-09-01,미분양주택현황,전국,157241.0
2008-10-01,미분양주택현황,전국,155720.0
2008-11-01,미분양주택현황,전국,162570.0
2008-12-01,미분양주택현황,전국,165599.0
2009-01-01,미분양주택현황,전국,162693.0
2009-02-01,미분양주택현황,전국,161972.0
2009-03-01,미분양주택현황,전국,165641.0
2009-04-01,미분양주택현황,전국,163856.0
2009-05-01,미분양주택현황,전국,151938.0
2009-06-01,미분양주택현황,전국,145585.0
2009-07-01,미분양주택현황,전국,140186.0
2009-08-01,미분양주택현황,전국,133779.0
2009-09-01,미분양주택현황,전국,126424.0
2009-10-01,미분양주택현황,전국,120437.0
2009-11-01,미분양주택현황,전국,122542.0
2009-12-01,미분양주택현황,전국,123297.0
2010-01-01,미분양주택현황,전국,119039.0
2010-02-01,미분양주택현황,전국,116438.0
2010-03-01,미분양주택현황,전국,112910.0
2010-04-01,미분양주택현황,전국,110409.0
2010-05-01,미분양주택현황,전국,110460.0
2010-06-01,미분양주택현황,전국,110020.0
2010-07-01,미분양주택현황,전국,106464.0
2010-08-01,미분양주택현황,전국,103981.0
2010-09-01,미분양주택현황,전국,100325.0
2010-10-01,미분양주택현황,전국,99033.0
2010-11-01,미분양주택현황,전국,94539.0
2010-12-01,미분양주택현황,전국,88706.0
2011-01-01,미분양주택현황,전국,84923.0
2011-02-01,미분양주택현황,전국,80588.0
2011-03-01,미분양주택현황,전국,77572.0
2011-04-01,미분양주택현황,전국,72232.0
2011-05-01,미분양주택현황,전국,71360.0
2011-06-01,미분양주택현황,전국,72667.0
2011-07-01,미분양주택현황,전국,70087.0
2011-08-01,미분양주택현황,전국,68593.0
2011-09-01,미분양주택현황,전국,68039.0
2011-10-01,미분양주택현황,전국,66462.0
2011-11-01,미분양주택현황,전국,67040.0
2011-12-01,미분양주택현황,전국,69807.0
2012-01-01,미분양주택현황,전국,67786.0
2012-02-01,미분양주택현황,전국,64850.0
2012-03-01,미분양주택현황,전국,62949.0
2012-04-01,미분양주택현황,전국,61385.0
2012-05-01,미분양주택현황,전국,62325.0
2012-06-01,미분양주택현황,전국,62288.0
2012-07-01,미분양주택현황,전국,67060.0
2012-08-01,미분양주택현황,전국,69511.0
2012-09-01,미분양주택현황,전국,71552.0
2012-10-01,미분양주택현황,전국,72739.0
2012-11-01,미분양주택현황,전국,76319.0
2012-12-01,미분양주택현황,전국,74835.0
2013-01-01,미분양주택현황,전국,75180.0
2013-02-01,미분양주택현황,전국,73386.0
2013-03-01,미분양주택현황,전국,70633.0
2013-04-01,미분양주택현황,전국,70201.0
2013-05-01,미분양주택현황,전국,66896.0
2013-06-01,미분양주택현황,전국,65072.0
2013-07-01,미분양주택현황,전국,67672.0
2013-08-01,미분양주택현황,전국,68119.0
2013-09-01,미분양주택현황,전국,66110.0
2013-10-01,미분양주택현황,전국,64433.0
2013-11-01,미분양주택현황,전국,63709.0
2013-12-01,미분양주택현황,전국,61091.0
2014-01-01,미분양주택현황,전국,58576.0
2014-02-01,미분양주택현황,전국,52391.0
2014-03-01,미분양주택현황,전국,48167.0
2014-04-01,미분양주택현황,전국,45573.0
2014-05-01,미분양주택현황,전국,49026.0
2014-06-01,미분양주택현황,전국,50257.0
2014-07-01,미분양주택현황,전국,51287.0
2014-08-01,미분양주택현황,전국,44784.0
2014-09-01,미분양주택현황,전국,39168.0
2014-10-01,미분양주택현황,전국,40092.0
2014-11-01,미분양주택현황,전국,39703.0
2014-12-01,미분양주택현황,전국,40379.0
2015-01-01,미분양주택현황,전국,36985.0
2015-02-01,미분양주택현황,전국,33813.0
2015-03-01,미분양주택현황,전국,28897.0
2015-04-01,미분양주택현황,전국,28093.0
2015-05-01,미분양주택현황,전국,28142.0
2015-06-01,미분양주택현황,전국,34068.0
2015-07-01,미분양주택현황,전국,33177.0
2015-08-01,미분양주택현황,전국,31698.0
2015-09-01,미분양주택현황,전국,32524.0
2015-10-01,미분양주택현황,전국,32221.0
2015-11-01,미분양주택현황,전국,49724.0
2015-12-01,미분양주택현황,전국,61512.0
2016-01-01,미분양주택현황,전국,60606.0
2016-02-01,미분양주택현황,전국,55103.0
2016-03-01,미분양주택현황,전국,53845.0
2016-04-01,미분양주택현황,전국,53816.0
2016-05-01,미분양주택현황,전국,55456.0
2016-06-01,미분양주택현황,전국,59999.0
2016-07-01,미분양주택현황,전국,63127.0
2016-08-01,미분양주택현황,전국,62562.0
2016-09-01,미분양주택현황,전국,60700.0
2016-10-01,미분양주택현황,전국,57709.0
2016-11-01,미분양주택현황,전국,57582.0
2016-12-01,미분양주택현황,전국,56413.0
2017-01-01,미분양주택현황,전국,59313.0
2017-02-01,미분양주택현황,전국,61063.0
2017-03-01,미분양주택현황,전국,61679.0
2017-04-01,미분양주택현황,전국,60313.0
2017-05-01,미분양주택현황,전국,56859.0
2017-06-01,미분양주택현황,전국,57108.0
2017-07-01,미분양주택현황,전국,54282.0
2017-08-01,미분양주택현황,전국,53130.0
2017-09-01,미분양주택현황,전국,54420.0
2017-10-01,미분양주택현황,전국,55707.0
2017-11-01,미분양주택현황,전국,56647.0
2017-12-01,미분양주택현황,전국,57330.0
2018-01-01,미분양주택현황,전국,59104.0
