지역,날짜,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,2011. 01,50534731,25318961,25215770
서울,2011. 01,10312835,5110837,5201998
부산,2011. 01,3566560,1772383,1794177
대구,2011. 01,2512071,1255238,1256833
인천,2011. 01,2761122,1391674,1369448
광주,2011. 01,1456308,722450,733858
대전,2011. 01,1504617,754111,750506
울산,2011. 01,1127337,579518,547819
경기,2011. 01,11801232,5949477,5851755
강원,2011. 01,1528790,769339,759451
충북,2011. 01,1550474,781774,768700
충남,2011. 01,2076239,1049848,1026391
전북,2011. 01,1868745,931489,937256
전남,2011. 01,1916912,957989,958923
경북,2011. 01,2688586,1350687,1337899
경남,2011. 01,3291435,1656488,1634947
제주,2011. 01,571468,285659,285809
전국,2011. 02,50555262,25328299,25226963
서울,2011. 02,10314245,5110818,5203427
부산,2011. 02,3566480,1772175,1794305
대구,2011. 02,2512321,1255200,1257121
인천,2011. 02,2765025,1393626,1371399
광주,2011. 02,1458195,723413,734782
대전,2011. 02,1506136,754883,751253
울산,2011. 02,1127647,579732,547915
경기,2011. 02,11815120,5956364,5858756
강원,2011. 02,1527843,768790,759053
충북,2011. 02,1551621,782255,769366
충남,2011. 02,2077703,1050677,1027026
전북,2011. 02,1868363,931323,937040
전남,2011. 02,1914191,956670,957521
경북,2011. 02,2687178,1349953,1337225
경남,2011. 02,3291281,1656537,1634744
제주,2011. 02,571913,285883,286030
전국,2011. 03,50575130,25337290,25237840
서울,2011. 03,10307783,5107011,5200772
부산,2011. 03,3564873,1770952,1793921
대구,2011. 03,2511231,1254360,1256871
인천,2011. 03,2768648,1395330,1373318
광주,2011. 03,1458326,723279,735047
대전,2011. 03,1506995,755385,751610
울산,2011. 03,1128324,580047,548277
경기,2011. 03,11829316,5963948,5865368
강원,2011. 03,1529915,769993,759922
충북,2011. 03,1552707,782832,769875
충남,2011. 03,2081390,1052537,1028853
전북,2011. 03,1868476,931437,937039
전남,2011. 03,1914176,956526,957650
경북,2011. 03,2687521,1350106,1337415
경남,2011. 03,3293002,1657395,1635607
제주,2011. 03,572447,286152,286295
전국,2011. 04,50594424,25346019,25248405
서울,2011. 04,10301829,5103919,5197910
부산,2011. 04,3563042,1769903,1793139
대구,2011. 04,2510773,1253859,1256914
인천,2011. 04,2772131,1397050,1375081
광주,2011. 04,1458814,723466,735348
대전,2011. 04,1507751,755648,752103
울산,2011. 04,1129038,580511,548527
경기,2011. 04,11841400,5969703,5871697
강원,2011. 04,1531721,770824,760897
충북,2011. 04,1554195,783592,770603
충남,2011. 04,2083893,1054033,1029860
전북,2011. 04,1868846,931576,937270
전남,2011. 04,1913918,956437,957481
경북,2011. 04,2688469,1350516,1337953
경남,2011. 04,3295686,1658558,1637128
제주,2011. 04,572918,286424,286494
전국,2011. 05,50613213,25354703,25258510
서울,2011. 05,10295643,5100399,5195244
부산,2011. 05,3562985,1769690,1793295
대구,2011. 05,2510644,1253685,1256959
인천,2011. 05,2775394,1398584,1376810
광주,2011. 05,1459615,723894,735721
대전,2011. 05,1509032,756290,752742
울산,2011. 05,1129612,580864,548748
경기,2011. 05,11854092,5976420,5877672
강원,2011. 05,1531996,770803,761193
충북,2011. 05,1555169,784080,771089
충남,2011. 05,2086490,1055458,1031032
전북,2011. 05,1869418,931872,937546
전남,2011. 05,1913641,956187,957454
경북,2011. 05,2689130,1350786,1338344
경남,2011. 05,3296893,1659023,1637870
제주,2011. 05,573459,286668,286791
전국,2011. 06,50627347,25359936,25267411
서울,2011. 06,10288284,5095751,5192533
부산,2011. 06,3563295,1769758,1793537
대구,2011. 06,2510243,1253367,1256876
인천,2011. 06,2779133,1400372,1378761
광주,2011. 06,1459862,723927,735935
대전,2011. 06,1509963,756814,753149
울산,2011. 06,1130832,581503,549329
경기,2011. 06,11862889,5980594,5882295
강원,2011. 06,1532178,770755,761423
충북,2011. 06,1555952,784476,771476
충남,2011. 06,2088281,1056342,1031939
전북,2011. 06,1870863,932582,938281
전남,2011. 06,1914142,956254,957888
경북,2011. 06,2689904,1351242,1338662
경남,2011. 06,3297769,1659375,1638394
제주,2011. 06,573757,286824,286933
전국,2011. 07,50641565,25366218,25275347
서울,2011. 07,10282472,5092201,5190271
부산,2011. 07,3560813,1768334,1792479
대구,2011. 07,2509833,1253156,1256677
인천,2011. 07,2782458,1401993,1380465
광주,2011. 07,1461368,724654,736714
대전,2011. 07,1510468,756963,753505
울산,2011. 07,1131325,581704,549621
경기,2011. 07,11874213,5986390,5887823
강원,2011. 07,1532825,770978,761847
충북,2011. 07,1556984,785015,771969
충남,2011. 07,2090270,1057362,1032908
전북,2011. 07,1871388,932792,938596
전남,2011. 07,1913185,955836,957349
경북,2011. 07,2691181,1352038,1339143
경남,2011. 07,3298607,1659799,1638808
제주,2011. 07,574175,287003,287172
전국,2011. 08,50662739,25375626,25287113
서울,2011. 08,10277507,5089493,5188014
부산,2011. 08,3558372,1766803,1791569
대구,2011. 08,2510079,1253113,1256966
인천,2011. 08,2786717,1404018,1382699
광주,2011. 08,1462915,725330,737585
대전,2011. 08,1511531,757313,754218
울산,2011. 08,1131979,582076,549903
경기,2011. 08,11887932,5993230,5894702
강원,2011. 08,1533172,771292,761880
충북,2011. 08,1558289,785630,772659
충남,2011. 08,2092262,1058431,1033831
전북,2011. 08,1872346,933147,939199
전남,2011. 08,1911983,955254,956729
경북,2011. 08,2692036,1352432,1339604
경남,2011. 08,3300895,1660780,1640115
제주,2011. 08,574724,287284,287440
전국,2011. 09,50681829,25384115,25297714
서울,2011. 09,10271880,5086210,5185670
부산,2011. 09,3556565,1765847,1790718
대구,2011. 09,2509609,1252693,1256916
인천,2011. 09,2790226,1405707,1384519
광주,2011. 09,1463432,725523,737909
대전,2011. 09,1512557,757790,754767
울산,2011. 09,1132910,582522,550388
경기,2011. 09,11898590,5998445,5900145
강원,2011. 09,1533638,771586,762052
충북,2011. 09,1559572,786171,773401
충남,2011. 09,2094358,1059573,1034785
전북,2011. 09,1873956,933946,940010
전남,2011. 09,1912151,955371,956780
경북,2011. 09,2693707,1353220,1340487
경남,2011. 09,3303549,1661962,1641587
제주,2011. 09,575129,287549,287580
전국,2011. 10,50699478,25391900,25307578
서울,2011. 10,10266174,5082622,5183552
부산,2011. 10,3554635,1764716,1789919
대구,2011. 10,2509297,1252400,1256897
인천,2011. 10,2794493,1407756,1386737
광주,2011. 10,1464073,725810,738263
대전,2011. 10,1513877,758386,755491
울산,2011. 10,1134125,583149,550976
경기,2011. 10,11908014,6002872,5905142
강원,2011. 10,1534555,772081,762474
충북,2011. 10,1560895,786962,773933
충남,2011. 10,2096445,1060628,1035817
전북,2011. 10,1874058,934102,939956
전남,2011. 10,1912509,955527,956982
경북,2011. 10,2695145,1353957,1341188
경남,2011. 10,3305621,1663115,1642506
제주,2011. 10,575562,287817,287745
전국,2011. 11,50717719,25399757,25317962
서울,2011. 11,10257741,5078105,5179636
부산,2011. 11,3553997,1764401,1789596
대구,2011. 11,2508935,1252236,1256699
인천,2011. 11,2798762,1409803,1388959
광주,2011. 11,1464516,726106,738410
대전,2011. 11,1514979,758911,756068
울산,2011. 11,1134904,583556,551348
경기,2011. 11,11920340,6007716,5912624
강원,2011. 11,1535771,772888,762883
충북,2011. 11,1562374,787715,774659
충남,2011. 11,2098469,1061693,1036776
전북,2011. 11,1874181,934135,940046
전남,2011. 11,1913002,955921,957081
경북,2011. 11,2696596,1354595,1342001
경남,2011. 11,3307201,1663978,1643223
제주,2011. 11,575951,287998,287953
전국,2011. 12,50734284,25406934,25327350
서울,2011. 12,10249679,5073899,5175780
부산,2011. 12,3550963,1762848,1788115
대구,2011. 12,2507271,1251577,1255694
인천,2011. 12,2801274,1410980,1390294
광주,2011. 12,1463464,725606,737858
대전,2011. 12,1515603,759188,756415
울산,2011. 12,1135494,583825,551669
경기,2011. 12,11937415,6015357,5922058
강원,2011. 12,1536448,773278,763170
충북,2011. 12,1562903,787981,774922
충남,2011. 12,2101284,1063012,1038272
전북,2011. 12,1874031,934002,940029
전남,2011. 12,1914339,956747,957592
경북,2011. 12,2699195,1355727,1343468
경남,2011. 12,3308765,1664755,1644010
제주,2011. 12,576156,288152,288004
전국,2012. 01,50750837,25414026,25336811
서울,2012. 01,10250134,5073567,5176567
부산,2012. 01,3549501,1762043,1787458
대구,2012. 01,2508370,1251881,1256489
인천,2012. 01,2804287,1412355,1391932
광주,2012. 01,1465313,726529,738784
대전,2012. 01,1517299,759905,757394
울산,2012. 01,1136464,584309,552155
세종,2012. 01,-,-,-
경기,2012. 01,11948596,6020446,5928150
강원,2012. 01,1535335,772718,762617
충북,2012. 01,1563023,788127,774896
충남,2012. 01,2103129,1064012,1039117
전북,2012. 01,1873491,933775,939716
전남,2012. 01,1912725,956024,956701
경북,2012. 01,2697104,1354649,1342455
경남,2012. 01,3309559,1665308,1644251
제주,2012. 01,576507,288378,288129
전국,2012. 02,50767313,25421655,25345658
서울,2012. 02,10251297,5073607,5177690
부산,2012. 02,3548640,1761464,1787176
대구,2012. 02,2508563,1251815,1256748
인천,2012. 02,2808286,1414357,1393929
광주,2012. 02,1466516,727092,739424
대전,2012. 02,1518651,760544,758107
울산,2012. 02,1136948,584696,552252
세종,2012. 02,-,-,-
경기,2012. 02,11961481,6026826,5934655
강원,2012. 02,1534310,772155,762155
충북,2012. 02,1563091,788129,774962
충남,2012. 02,2106223,1065693,1040530
전북,2012. 02,1872933,933597,939336
전남,2012. 02,1910664,954855,955809
경북,2012. 02,2694794,1353574,1341220
경남,2012. 02,3307822,1664550,1643272
제주,2012. 02,577094,288701,288393
전국,2012. 03,50783029,25429184,25353845
서울,2012. 03,10245782,5070498,5175284
부산,2012. 03,3547141,1760266,1786875
대구,2012. 03,2507586,1251107,1256479
인천,2012. 03,2811410,1415761,1395649
광주,2012. 03,1466810,727255,739555
대전,2012. 03,1519490,761177,758313
울산,2012. 03,1137918,585316,552602
세종,2012. 03,-,-,-
경기,2012. 03,11972408,6032275,5940133
강원,2012. 03,1536525,773580,762945
충북,2012. 03,1564283,788684,775599
충남,2012. 03,2108537,1066888,1041649
전북,2012. 03,1873678,933948,939730
전남,2012. 03,1910746,955003,955743
경북,2012. 03,2694822,1353601,1341221
경남,2012. 03,3308081,1664719,1643362
제주,2012. 03,577812,289106,288706
전국,2012. 04,50801531,25437643,25363888
서울,2012. 04,10241387,5068038,5173349
부산,2012. 04,3545806,1759456,1786350
대구,2012. 04,2507310,1250813,1256497
인천,2012. 04,2815158,1417617,1397541
광주,2012. 04,1466676,727206,739470
대전,2012. 04,1520628,761742,758886
울산,2012. 04,1139628,586133,553495
세종,2012. 04,-,-,-
경기,2012. 04,11984985,6038558,5946427
