지역,날짜,총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
전국,2010. 01,631545,631545,0,221718,190804,190804,219023,219023
전국,2010. 02,783081,783081,0,265412,240035,240035,277634,277634
전국,2010. 03,882541,882541,0,324720,262284,262284,295537,295537
전국,2010. 04,709932,709932,0,276612,209063,209063,224257,224257
전국,2010. 05,663632,663632,0,259609,197069,197069,206954,206954
전국,2010. 06,648218,648218,0,252687,193993,193993,201538,201538
전국,2010. 07,602993,602993,0,230998,179415,179415,192580,192580
전국,2010. 08,655501,655501,0,238275,195368,195368,221858,221858
전국,2010. 09,552496,552496,0,208270,165055,165055,179171,179171
전국,2010. 10,670594,670594,0,263178,202361,202361,205055,205055
전국,2010. 11,698948,698948,0,284062,207351,207351,207535,207535
전국,2010. 12,727113,727113,0,279255,216707,216707,231151,231151
전국,2011. 01,640249,640249,0,235393,189114,189114,215742,215742
전국,2011. 02,786551,786551,0,278682,234216,234216,273653,273653
전국,2011. 03,824688,824688,0,317229,239779,239779,267680,267680
전국,2011. 04,673541,673541,0,271305,194548,194548,207688,207688
전국,2011. 05,672248,672248,0,273121,193755,193755,205372,205372
전국,2011. 06,630295,630295,0,252041,181420,181420,196834,196834
전국,2011. 07,575022,575022,0,224909,166938,166938,183175,183175
전국,2011. 08,704132,704132,0,266671,205892,205892,231569,231569
전국,2011. 09,593848,593848,0,226716,174583,174583,192549,192549
전국,2011. 10,653713,653713,0,259582,193032,193032,201099,201099
전국,2011. 11,666142,666142,0,268267,195879,195879,201996,201996
전국,2011. 12,706766,706766,0,269813,209797,209797,227156,227156
전국,2012. 01,582501,582501,0,200726,171874,171874,209901,209901
전국,2012. 02,819205,819205,0,275505,244116,244116,299584,299584
전국,2012. 03,717005,717005,0,264348,205342,205342,247315,247315
전국,2012. 04,630685,630685,0,249616,179326,179326,201743,201743
전국,2012. 05,624944,624944,0,247637,178683,178683,198624,198624
전국,2012. 06,542041,542041,0,212794,153548,153548,175699,175699
전국,2012. 07,559846,559846,0,216967,159546,159546,183333,183333
전국,2012. 08,584403,584403,0,215602,167760,167760,201041,201041
전국,2012. 09,505118,505118,0,195106,145703,145703,164309,164309
전국,2012. 10,643977,643977,0,251021,185751,185751,207205,207205
전국,2012. 11,649081,649081,0,255096,187662,187662,206323,206323
전국,2012. 12,647885,647885,0,243580,186642,186642,217663,217663
전국,2013. 01,609016,609016,0,213184,176991,176991,218841,218841
전국,2013. 02,721190,721190,0,241725,212695,212695,266770,266770
전국,2013. 03,662370,662370,0,247407,186178,186178,228785,228785
전국,2013. 04,629241,629241,0,250802,178565,178565,199874,199874
전국,2013. 05,613463,613463,0,247046,176816,176816,189601,189601
전국,2013. 06,586000,586000,0,243059,166570,166570,176371,176371
전국,2013. 07,584697,584697,0,232814,167664,167664,184219,184219
전국,2013. 08,558255,558255,0,211350,159923,159923,186982,186982
전국,2013. 09,485965,485965,0,188803,138860,138860,158302,158302
전국,2013. 10,637567,637567,0,257797,182356,182356,197414,197414
전국,2013. 11,623006,623006,0,257544,176937,176937,188525,188525
전국,2013. 12,701014,701014,0,272497,200772,200772,227745,227745
전국,2014. 01,580370,580370,0,210007,167383,167383,202980,202980
전국,2014. 02,757702,757702,0,257776,224129,224129,275797,275797
전국,2014. 03,708559,708559,0,265569,200277,200277,242713,242713
전국,2014. 04,651825,651825,0,260183,184206,184206,207436,207436
전국,2014. 05,612796,612796,0,248556,171391,171391,192849,192849
전국,2014. 06,586855,586855,0,238782,166981,166981,181092,181092
전국,2014. 07,599827,599827,0,237461,172275,172275,190091,190091
전국,2014. 08,582734,582734,0,225223,168359,168359,189152,189152
전국,2014. 09,566855,566855,0,222168,157663,157663,187024,187024
전국,2014. 10,669986,669986,0,272634,187314,187314,210038,210038
전국,2014. 11,613783,613783,0,254392,169954,169954,189437,189437
전국,2014. 12,697806,697806,0,265116,193503,193503,239187,239187
전국,2015. 01,615130,615130,0,217333,172156,172156,225641,225641
전국,2015. 02,663366,663366,0,226633,190009,190009,246724,246724
전국,2015. 03,771122,771122,0,290926,216275,216275,263921,263921
전국,2015. 04,649452,649452,0,261425,182893,182893,205134,205134
전국,2015. 05,605725,605725,0,249341,171265,171265,185119,185119
전국,2015. 06,650399,650399,0,264301,185002,185002,201096,201096
전국,2015. 07,627098,627098,0,249350,178660,178660,199088,199088
전국,2015. 08,618777,618777,0,239072,175098,175098,204607,204607
전국,2015. 09,550423,550423,0,218575,155548,155548,176300,176300
전국,2015. 10,653444,653444,0,263364,183320,183320,206760,206760
전국,2015. 11,650197,650197,0,266939,182887,182887,200371,200371
전국,2015. 12,700153,700153,0,266761,196729,196729,236663,236663
전국,2016. 01,595130,595130,0,214346,167537,167537,213247,213247
전국,2016. 02,709413,709413,0,243213,200648,200648,265552,265552
전국,2016. 03,686126,686126,0,255572,189168,189168,241386,241386
전국,2016. 04,564228,564228,0,222788,156227,156227,185213,185213
전국,2016. 05,589428,589428,0,239963,163674,163674,185791,185791
전국,2016. 06,567068,567068,0,222292,160777,160777,183999,183999
전국,2016. 07,544890,544890,0,213738,154187,154187,176965,176965
전국,2016. 08,641882,641882,0,245623,182604,182604,213655,213655
전국,2016. 09,545720,545720,0,215085,155531,155531,175104,175104
전국,2016. 10,616356,616356,0,249237,175601,175601,191518,191518
전국,2016. 11,645286,645286,0,264136,185700,185700,195450,195450
전국,2016. 12,672903,672903,0,254302,193139,193139,225462,225462
전국,2017. 01,577151,577151,0,202360,166402,166402,208389,208389
전국,2017. 02,748848,748848,0,248401,220124,220124,280323,280323
전국,2017. 03,673351,673351,0,241865,190465,190465,241021,241021
